"","time","S","I","R","Date","A","Rm","total_infected"
"172",172,7626.68136201214,31.9833475664378,33933.3352904214,2021-09-22,NA,NA,33965.3186379879
"173",173,7625.57084882431,30.4238205598878,33936.0053306158,2021-09-23,NA,NA,33966.4291511757
"174",174,7624.5146376547,28.9401907000111,33938.5451716453,2021-09-24,NA,NA,33967.4853623453
"175",175,7623.51007123118,27.5287782733617,33940.9611504955,2021-09-25,NA,NA,33968.4899287688
"176",176,7622.55462250509,26.1860806368936,33943.259296858,2021-09-26,NA,NA,33969.4453774949
"177",177,7621.64588825161,24.90876382484,33945.4453479236,2021-09-27,NA,NA,33970.3541117484
"178",178,7620.78158298622,23.6936545411303,33947.5247624727,2021-09-28,NA,NA,33971.2184170138
"179",179,7619.95953318162,22.5377325208331,33949.5027342976,2021-09-29,NA,NA,33972.0404668184
"180",180,7619.17767177008,21.4381232447034,33951.3842049852,2021-09-30,NA,NA,33972.8223282299
"181",181,7618.43403291697,20.3920909914906,33953.1738760916,2021-10-01,NA,NA,33973.5659670831
"182",182,7617.72674705203,19.3970322132299,33954.8762207348,2021-10-02,NA,NA,33974.273252948
"183",183,7617.05403614552,18.4504692193016,33956.4954946352,2021-10-03,NA,NA,33974.9459638545
"184",184,7616.41420921716,17.5500441555881,33958.0357466273,2021-10-04,NA,NA,33975.5857907829
"185",185,7615.8056580662,16.6935132655901,33959.5008286682,2021-10-05,NA,NA,33976.1943419338
"186",186,7615.22685321168,15.8787414208881,33960.8944053675,2021-10-06,NA,NA,33976.7731467883
"187",187,7614.67634003258,15.1036969088366,33962.2199630586,2021-10-07,NA,NA,33977.3236599674
"188",188,7614.15273509778,14.3664464658758,33963.4808184364,2021-10-08,NA,NA,33977.8472649022
"189",189,7613.65472267649,13.6651505453184,33964.6801267782,2021-10-09,NA,NA,33978.3452773235
"190",190,7613.18105142036,12.9980588089353,33965.8208897707,2021-10-10,NA,NA,33978.8189485797
"191",191,7612.73053120852,12.3635058321088,33966.9059629594,2021-10-11,NA,NA,33979.2694687915
"192",192,7612.30203014777,11.7599070127582,33967.9380628395,2021-10-12,NA,NA,33979.6979698522
"193",193,7611.89447172005,11.1857546746571,33968.9197736053,2021-10-13,NA,NA,33980.10552828
"194",194,7611.50683207003,10.6396143561686,33969.8535535738,2021-10-14,NA,NA,33980.49316793
"195",195,7611.13813742585,10.1201212758108,33970.7417412984,2021-10-15,NA,NA,33980.8618625742
"196",196,7610.78746164653,9.62597696644047,33971.5865613871,2021-10-16,NA,NA,33981.2125383535
"197",197,7610.45392388967,9.1559460702054,33972.3901300402,2021-10-17,NA,NA,33981.5460761104
"198",198,7610.1366863936,8.70885328675838,33973.1544603197,2021-10-18,NA,NA,33981.8633136064
"199",199,7609.8349523684,8.28358046756355,33973.8814671641,2021-10-19,NA,NA,33982.1650476316
"200",200,7609.54796399025,7.87906384944326,33974.5729721603,2021-10-20,NA,NA,33982.4520360098
"201",201,7609.2750004942,7.49429142082222,33975.230708085,2021-10-21,NA,NA,33982.7249995058
"202",202,7609.01537636044,7.12830041442046,33975.8563232252,2021-10-22,NA,NA,33982.9846236396
"203",203,7608.76843958945,6.78017492042948,33976.4513854902,2021-10-23,NA,NA,33983.2315604106
"204",204,7608.53357006174,6.44904361447739,33977.0173863238,2021-10-24,NA,NA,33983.4664299383
"205",205,7608.31017797791,6.13407759494863,33977.5557444272,2021-10-25,NA,NA,33983.6898220221
"206",206,7608.09770237521,5.83448832447284,33978.0678093004,2021-10-26,NA,NA,33983.9022976248
"207",207,7607.89560971672,5.54952567063586,33978.5548646127,2021-10-27,NA,NA,33984.1043902833
"208",208,7607.70339254966,5.27847604119395,33979.0181314092,2021-10-28,NA,NA,33984.2966074504
"209",209,7607.52056822941,5.0206606092906,33979.4587711614,2021-10-29,NA,NA,33984.4794317706
"210",210,7607.34667770605,4.77543362438402,33979.8778886696,2021-10-30,NA,NA,33984.653322294
"211",211,7607.18128437028,4.54218080479336,33980.276534825,2021-10-31,NA,NA,33984.8187156298
"212",212,7607.02397295585,4.32031780796197,33980.6557092362,2021-11-01,NA,NA,33984.9760270442
"213",213,7606.87434849574,4.10928877471902,33981.0163627296,2021-11-02,NA,NA,33985.1256515043
"214",214,7606.73203532945,3.90856494399469,33981.3593997266,2021-11-03,NA,NA,33985.2679646706
"215",215,7606.59667615883,3.71764333461064,33981.6856805066,2021-11-04,NA,NA,33985.4033238412
"216",216,7606.46793115018,3.53604549092649,33981.9960233589,2021-11-05,NA,NA,33985.5320688499
"217",217,7606.34547708027,3.36331628927487,33982.2912066305,2021-11-06,NA,NA,33985.6545229198
"218",218,7606.22900652412,3.19902280226227,33982.5719706736,2021-11-07,NA,NA,33985.7709934759
"219",219,7606.11822708258,3.04275321815146,33982.8390196993,2021-11-08,NA,NA,33985.8817729174
"220",220,7606.01286064767,2.89411581267307,33983.0930235397,2021-11-09,NA,NA,33985.9871393524
"221",221,7605.91264270383,2.75273797073969,33983.3346193255,2021-11-10,NA,NA,33986.0873572962
"222",222,7605.81732166346,2.61826525565632,33983.5644130809,2021-11-11,NA,NA,33986.1826783366
"223",223,7605.72665823481,2.49036052353505,33983.7829812417,2021-11-12,NA,NA,33986.2733417652
"224",224,7605.64042482096,2.36870308073159,33983.9908720983,2021-11-13,NA,NA,33986.3595751791
"225",225,7605.55840494806,2.25298788222501,33984.1886071697,2021-11-14,NA,NA,33986.441595052
